Giá nhà,Địa chỉ,Diện tích,Số phòng ngủ,Tổng số tầng,Loại hình nhà ở,Giấy tờ pháp lý,url
"1,2 tỷ","Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",80 m²,4 phòng,1,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/104640574.htm
"3,5 tỷ","Bông Sao, Phường 5, Quận 8, Tp Hồ Chí Minh",43 m²,2 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/110644991.htm
"1,68 tỷ","136/21, Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",29 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110670951.htm#px=SR-special_display_ad-[PO-14][PL-default]
"3,5 tỷ","Đỗ Thúc Tịnh, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",29 m²,2 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110809817.htm#px=SR-special_display_ad-[PO-16][PL-default]
"3,8 tỷ","Quốc Hương, Phường Thảo Điền (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",75 m²,2 phòng,1,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/109832469.htm#px=SR-special_display_ad-[PO-18][PL-default]
26 tỷ,"Nguyễn Trãi, Phường Hiệp Phú (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",210 m²,4 phòng,2,Nhà biệt thự,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110738089.htm
"6,7 tỷ","457, Đường Cách Mạng Tháng 8, Phường 12, Quận 10, Tp Hồ Chí Minh",60 m²,6 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110821572.htm#px=SR-special_display_ad-[PO-20][PL-default]
"5,6 tỷ","Trường Sa, Phường 14, Quận 3, Tp Hồ Chí Minh",55 m²,5 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/110821536.htm#px=SR-special_display_ad-[PO-1][PL-default]
"2,6 tỷ","Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",36.5 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110821504.htm
840 triệu,"Bùi Minh Trực, Phường 5, Quận 8, Tp Hồ Chí Minh",60 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-8-tp-ho-chi-minh/110821526.htm
"2,35 tỷ","Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh",52 m²,3 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/110821502.htm
"4,49 tỷ","Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",65 m²,2 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110821481.htm
"3,98 tỷ","Thông Tây Hội, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",40 m²,3 phòng,4,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110821461.htm
"2,3 tỷ","Đường Trần Phú, Phường 7, Quận 5, Tp Hồ Chí Minh",43 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-5-tp-ho-chi-minh/110821449.htm
750 triệu,"Phạm Tấn Mười, Xã Quy Đức, Huyện Bình Chánh, Tp Hồ Chí Minh",71.4 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110605426.htm
"3,99 tỷ","Hương Lộ 2, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",48 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110760523.htm
"5,5 tỷ","Tạ Uyên, Phường 6, Quận 11, Tp Hồ Chí Minh",40 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-11-tp-ho-chi-minh/110821415.htm
"2,28 tỷ","Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",55 m²,1 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110821440.htm
"2,8 tỷ","Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",34 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110821423.htm#px=SR-special_display_ad-[PO-10][PL-default]
"1,45 tỷ","Đường Bà Điểm 9, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh",36 m²,2 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/110642805.htm
968 triệu,"Đường Ngã Ba Chú Lường, Xã Đa Phước, Huyện Bình Chánh, Tp Hồ Chí Minh",40 m²,3 phòng,1,"Nhà ngõ, hẻm",Đang chờ sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-binh-chanh-tp-ho-chi-minh/110807729.htm
"1,7 tỷ","Trần Thủ Độ, Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",57 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/109507168.htm
"3,9 tỷ","Liên khu 5-6, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",60 m²,4 phòng,3,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110793388.htm
3 tỷ,"Hoàng Diệu, Phường 14, Quận 4, Tp Hồ Chí Minh",33 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-4-tp-ho-chi-minh/110821377.htm#px=SR-special_display_ad-[PO-17][PL-default]
800 triệu,"tân hòa đông, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",61 m²,3 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110821369.htm
"2,2 tỷ","Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh",70 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/110821379.htm
10 tỷ,"90/28, Trần Văn Ơn, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",68 m²,4 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110151755.htm
"8,9 tỷ","174/33/2, Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",95.7 m²,8 phòng,5,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/102212290.htm
"8,9 tỷ","174/33/2, Nguyễn Tư Giản, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",95.7 m²,8 phòng,5,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/102212290.htm
5 tỷ,"Đường Tô Hiến Thành, Phường 13, Quận 10, Tp Hồ Chí Minh",35 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110821326.htm
"2,9 tỷ","Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh",98 m²,2 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-hoc-mon-tp-ho-chi-minh/110821331.htm
900 triệu,"Thạnh Xuân 38, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",48 m²,2 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110202756.htm
"7,9 tỷ","Đường Kha Vạn Cân, Phường Linh Trung (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",68.6 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110821315.htm
"3,59 tỷ","Ðiện Biên Phủ, Phường 3, Quận 3, Tp Hồ Chí Minh",38 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/110821309.htm#px=SR-special_display_ad-[PO-6][PL-default]
"5,9 tỷ","Thống Nhất, Phường 11, Quận Gò Vấp, Tp Hồ Chí Minh",60 m²,3 phòng,4,Nhà phố liền kề,,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110557951.htm
8 tỷ,"Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",80 m²,2 phòng,1,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/108986978.htm
"4,1 tỷ","Quang Trung, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",32 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110092725.htm
29 tỷ,"Đường Nguyễn Văn Lượng, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh",490 m²,3 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110267751.htm
"1,55 tỷ","Đường Thạnh Xuân 25, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",150 m²,2 phòng,2,"Nhà mặt phố, mặt tiền",Giấy tờ khác,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/109198257.htm
1 tỷ,"Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",21 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/105806581.htm
"7,5 tỷ","Lò Lu, Phường Trường Thạnh (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",136 m²,2 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/109720545.htm
935 triệu,"Đường Nguyễn Khoái, Phường 2, Quận 4, Tp Hồ Chí Minh",57 m²,2 phòng,1,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-4-tp-ho-chi-minh/110700194.htm
"7,7 tỷ","Dương Quảng Hàm, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh",70 m²,3 phòng,3,Nhà phố liền kề,,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110821270.htm
"4,5 tỷ","Đường Lê Đại Hành, Phường 10, Quận 10, Tp Hồ Chí Minh",50 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110821253.htm#px=SR-special_display_ad-[PO-17][PL-default]
"9,8 tỷ","Đường số 41, Phường Linh Đông (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",180 m²,4 phòng,2,Nhà biệt thự,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/109190077.htm
"2,1 tỷ","Huỳnh Văn Một, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",48 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-phu-tp-ho-chi-minh/110821235.htm
"4,6 tỷ","Đường 14, Phường 8, Quận Gò Vấp, Tp Hồ Chí Minh",82 m²,1 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110821218.htm
"1,95 tỷ","Đường Sư Vạn Hạnh, Phường 9, Quận 10, Tp Hồ Chí Minh",80 m²,3 phòng,1,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110774838.htm
"4,2 tỷ","Huỳnh Văn Bánh P13, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",69 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-phu-nhuan-tp-ho-chi-minh/110700629.htm
"4,35 tỷ","Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Tp Hồ Chí Minh",50 m²,4 phòng,4,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/109604415.htm
"4,7 tỷ","62/8, Đường Số 2 ,Bình Hưng Hoà B, Bình Tân, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",89 m²,5 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/109175261.htm
4 tỷ,"254/28, Đường Liên Khu 4-5, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",60 m²,4 phòng,4,Nhà phố liền kề,Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/103608040.htm
"10,5 tỷ","Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",72 m²,4 phòng,4,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/109445148.htm
13 tỷ,"Đường Lê Văn Việt, Phường Tăng Nhơn Phú A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",136.6 m²,4 phòng,,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110644399.htm
"5,39 tỷ","Thới An 22, Phường Thới An, Quận 12, Tp Hồ Chí Minh",51 m²,5 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/110512508.htm
"2,5 tỷ","Trần Quốc Thảo, Phường 9, Quận 3, Tp Hồ Chí Minh",15 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/110821190.htm#px=SR-special_display_ad-[PO-8][PL-default]
"3,95 tỷ","2250, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",60 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-huyen-nha-be-tp-ho-chi-minh/110821169.htm
"3,47 tỷ","Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",60 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110821181.htm
"4,2 tỷ","Đường Huỳnh Văn Bánh, Phường 15, Quận Phú Nhuận, Tp Hồ Chí Minh",38 m²,2 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-phu-nhuan-tp-ho-chi-minh/110722454.htm
"1,15 tỷ","Thạnh Lộc 44, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",40 m²,2 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/108764423.htm
"2,84 tỷ","Đường Hậu Giang, Phường 5, Quận 6, Tp Hồ Chí Minh",53.9 m²,3 phòng,2,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-6-tp-ho-chi-minh/110821155.htm#px=SR-special_display_ad-[PO-13][PL-default]
11 tỷ,"Đường 6, Phường Linh Xuân (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",344 m²,nhiều hơn 10 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/108303937.htm
"4,7 tỷ","Nguyễn Thiện Thuật, Phường 3, Quận 3, Tp Hồ Chí Minh",23 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/110514408.htm
"2,45 tỷ","Đường Hà Tôn Quyền, Phường 12, Quận 5, Tp Hồ Chí Minh",52 m²,4 phòng,2,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-5-tp-ho-chi-minh/108132508.htm
"3,1 tỷ","Đường Nguyễn Văn Nghi, Phường 3, Quận Gò Vấp, Tp Hồ Chí Minh",31 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110821140.htm
"5,7 tỷ","Phạm Đăng Giảng, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",50.1 m²,4 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/109766399.htm
"2,45 tỷ","Hoàng Hoa Thám, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",56 m²,3 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/107625533.htm
"2,134 tỷ","Đường Hai Bà Trưng, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",56 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-1-tp-ho-chi-minh/110324416.htm
"4,95 tỷ","Phạm Văn Chiêu, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",48 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110821119.htm
"4,55 tỷ","Bùi Đình Tuý, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh",55 m²,4 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/105866914.htm
"4,79 tỷ","Đường Nguyễn Huy Lượng, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh",42 m²,3 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/109153813.htm
"7,5 tỷ","G, Phường Tam Bình (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",74 m²,2 phòng,,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-thanh-pho-thu-duc-tp-ho-chi-minh/110299222.htm
"1,99 tỷ","Đường chiến thắng, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",57 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/110276581.htm
"2,2 tỷ","phan văn khỏe, Phường 5, Quận 6, Tp Hồ Chí Minh",40 m²,2 phòng,,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-6-tp-ho-chi-minh/110821104.htm
"5,3 tỷ","Trường Sơn, Phường 15, Quận 10, Tp Hồ Chí Minh",75 m²,3 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110821097.htm#px=SR-special_display_ad-[PO-7][PL-default]
"2,2 tỷ","Đường Hồng Bàng, Phường 12, Quận 6, Tp Hồ Chí Minh",23 m²,2 phòng,1,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-6-tp-ho-chi-minh/110821093.htm
"2,15 tỷ","Hồng Lạc, Phường 11, Quận Tân Bình, Tp Hồ Chí Minh",52 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-tan-binh-tp-ho-chi-minh/107942153.htm
"5,4 tỷ","Liên Khu 5-6, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",60 m²,4 phòng,4,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110821079.htm#px=SR-special_display_ad-[PO-10][PL-default]
"2,5 tỷ","Đường Thích Quảng Đức, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh",35 m²,2 phòng,1,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-phu-nhuan-tp-ho-chi-minh/110821077.htm#px=SR-special_display_ad-[PO-11][PL-default]
"3,15 tỷ","Sư Vạn Hạnh, Phường 12, Quận 10, Tp Hồ Chí Minh",60 m²,3 phòng,1,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110219675.htm
"7,85 tỷ","Đường Tân Chánh Hiệp 18, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",104 m²,4 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-12-tp-ho-chi-minh/103507051.htm#px=SR-special_display_ad-[PO-13][PL-default]
"2,95 tỷ","Đường Nguyễn Tri Phương, Phường 12, Quận 10, Tp Hồ Chí Minh",60 m²,4 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/108244737.htm
"2,55 tỷ","Sư Vạn Hạnh, Phường 10, Quận 10, Tp Hồ Chí Minh",52 m²,3 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110821066.htm
"3,85 tỷ","Trần Quốc Thảo, Phường 9, Quận 3, Tp Hồ Chí Minh",60 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/107616936.htm
"2,25 tỷ","Nguyễn Văn Luông, Phường 12, Quận 6, Tp Hồ Chí Minh",60 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-6-tp-ho-chi-minh/108245453.htm
"1,18 tỷ","Đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",66 m²,3 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/109355368.htm
"3,45 tỷ","Lê Văn Lương, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",65 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-7-tp-ho-chi-minh/107638303.htm
"3,8 tỷ","Nguyễn Đình Chiểu, Phường 5, Quận 3, Tp Hồ Chí Minh",56 m²,4 phòng,2,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-3-tp-ho-chi-minh/110219550.htm
"3,69 tỷ","Đường Lê Hồng Phong, Phường 5, Quận 10, Tp Hồ Chí Minh",60 m²,4 phòng,2,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-10-tp-ho-chi-minh/110821049.htm
"2,5 tỷ","Số 9, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",36 m²,2 phòng,1,"Nhà mặt phố, mặt tiền",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/98723463.htm#px=SR-special_display_ad-[PO-2][PL-default]
"3,2 tỷ","Đường Trần Quý Khoách, Phường Tân Định, Quận 1, Tp Hồ Chí Minh",64 m²,3 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-1-tp-ho-chi-minh/105585169.htm
"2,35 tỷ","Đường Lê Văn Duyệt, Phường 3, Quận Bình Thạnh, Tp Hồ Chí Minh",45 m²,3 phòng,3,"Nhà mặt phố, mặt tiền",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110821033.htm
"3,45 tỷ","Đường số 4, Phường Bình Hưng Hoà A, Quận Bình Tân, Tp Hồ Chí Minh",42 m²,2 phòng,3,"Nhà ngõ, hẻm",Đã có sổ,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-tan-tp-ho-chi-minh/110760410.htm
"4,75 tỷ","Hoàng Hoa Thám, Phường 5, Quận Phú Nhuận, Tp Hồ Chí Minh",50 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-phu-nhuan-tp-ho-chi-minh/110414453.htm#px=SR-special_display_ad-[PO-5][PL-default]
"4,6 tỷ","Bùi Hữu Nghĩa, Phường 2, Quận Bình Thạnh, Tp Hồ Chí Minh",68 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-binh-thanh-tp-ho-chi-minh/110200075.htm#px=SR-special_display_ad-[PO-7][PL-default]
"3,3 tỷ","Lê Lợi, Phường 4, Quận Gò Vấp, Tp Hồ Chí Minh",35 m²,3 phòng,,"Nhà ngõ, hẻm",,https://www.nhatot.com/mua-ban-nha-dat-quan-go-vap-tp-ho-chi-minh/110205369.htm#px=SR-special_display_ad-[PO-8][PL-default]
